Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine1.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit02,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine2.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit03,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine3.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit04,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine4.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit05,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine5.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit06,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine6.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit07,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine7.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
Exhibit08,https://github.com/treybach/atv/raw/main/mepics/ExhibitMaine8.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
