Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
ExhibitDemo.001,https://github.com/treybach/atv/raw/main/ExhibitDemo.001.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ExhibitDemo.002,https://github.com/treybach/atv/raw/main/ExhibitDemo.002.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ExhibitDemo.003,https://github.com/treybach/atv/raw/main/ExhibitDemo.003.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ExhibitDemo.004,https://github.com/treybach/atv/raw/main/ExhibitDemo.004.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ExhibitDemo.005,https://github.com/treybach/atv/raw/main/ExhibitDemo.005.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
ExhibitDemo.005,https://github.com/treybach/atv/raw/main/ExhibitDemo.005.png,0:00:10,1:00:00,1/1/18 0:00,12/31/30 23:59,yes
